Cloud Cover,Humidity,Pressure,Global Radiation,Precipitation,Sunshine,Temperature,Picnic
3.0,0.68,1.0112,3.0,0.79,10.8,23.8,False
5.0,0.62,1.0178,2.71,0.0,8.8,19.4,True
2.0,0.6,1.0179,3.12,0.26,13.2,20.9,False
7.0,0.7,1.0163,1.51,0.07,3.9,15.4,False
7.0,0.76,1.0111,0.55,1.24,0.0,14.6,False
8.0,0.73,1.0011,0.99,0.25,0.1,16.1,False
6.0,0.69,1.0049,2.07,0.12,3.5,14.5,False
7.0,0.76,1.0169,1.67,0.61,1.9,13.2,False
7.0,0.79,1.0176,1.13,0.59,0.1,13.7,False
8.0,0.83,1.0116,0.52,1.09,0.1,13.7,False
7.0,0.78,1.0124,1.74,0.64,2.4,12.6,False
2.0,0.66,1.0191,3.01,0.0,11.8,16.7,True
2.0,0.66,1.0197,2.93,0.0,13.1,17.0,True
3.0,0.67,1.021,2.68,0.0,9.6,16.9,True
1.0,0.64,1.0209,3.03,0.0,13.9,18.5,True
3.0,0.63,1.0167,3.06,0.0,12.2,19.2,True
7.0,0.76,1.0127,1.13,0.14,1.3,18.8,False
7.0,0.8,1.0081,1.4,0.78,1.3,19.4,False
7.0,0.8,1.009,1.52,0.5,1.9,19.0,False
3.0,0.72,1.0121,2.6,0.02,7.9,19.9,False
7.0,0.74,1.0165,1.97,0.65,5.4,19.7,False
7.0,0.79,1.0173,1.67,0.34,4.0,17.2,False
8.0,0.86,1.0202,1.04,2.53,0.6,15.9,False
5.0,0.74,1.0239,1.92,0.0,5.2,17.6,True
1.0,0.66,1.0239,3.03,0.0,14.0,19.2,True
7.0,0.78,1.0197,1.03,0.16,1.4,19.6,False
6.0,0.81,1.0205,0.79,0.0,0.8,17.0,True
3.0,0.7,1.0206,2.35,0.0,7.8,17.3,True
8.0,0.9,1.0207,0.35,1.16,0.0,15.5,False
5.0,0.75,1.0213,2.29,0.0,6.6,18.6,True
3.0,0.73,1.0225,2.3,0.0,8.7,19.4,True
5.0,0.74,1.0212,1.91,0.0,4.9,19.4,True
1.0,0.7,1.0205,2.74,0.0,12.7,20.7,True
1.0,0.67,1.0182,2.75,0.0,13.1,21.9,True
1.0,0.63,1.0146,2.74,0.0,13.1,22.8,True
1.0,0.62,1.0171,2.65,0.0,12.8,22.7,True
4.0,0.62,1.0201,2.61,0.0,11.3,23.5,True
3.0,0.68,1.0208,2.23,0.0,8.0,23.3,True
3.0,0.74,1.0152,1.84,1.0,6.8,22.1,False
5.0,0.65,1.0139,2.43,0.0,10.0,24.0,True
4.0,0.64,1.0119,2.23,1.24,9.4,24.9,False
5.0,0.86,1.0161,0.91,1.57,2.2,18.8,False
5.0,0.75,1.0196,2.18,0.0,8.5,18.1,True
3.0,0.74,1.0199,2.5,0.0,11.8,19.2,True
1.0,0.7,1.022,2.5,0.0,12.6,21.0,True
1.0,0.68,1.0197,2.48,0.0,12.6,20.9,True
3.0,0.65,1.0119,2.27,0.85,11.4,21.9,False
6.0,0.76,1.0179,0.8,0.28,1.2,18.0,False
5.0,0.7,1.0202,2.24,0.0,10.7,17.4,True
8.0,0.82,1.0156,0.88,0.74,0.9,16.6,False
6.0,0.69,1.0116,1.63,0.68,3.4,15.9,False
7.0,0.78,1.0211,1.54,0.01,3.5,14.0,False
4.0,0.76,1.0243,1.73,0.0,5.2,13.6,True
7.0,0.78,1.0184,1.2,0.52,1.9,14.4,False
6.0,0.71,1.0176,2.03,0.0,8.8,15.5,True
0.0,0.69,1.0229,2.23,0.0,12.2,15.2,True
3.0,0.75,1.0214,2.12,0.0,11.8,18.5,True
1.0,0.76,1.0166,2.07,0.0,11.5,19.3,True
7.0,0.75,1.0134,1.85,0.08,10.4,20.5,False
5.0,0.8,1.0154,1.14,0.0,4.9,18.8,True
3.0,0.73,1.0132,1.77,0.0,9.7,21.3,True
7.0,0.63,1.0138,1.31,0.0,3.4,17.1,True
7.0,0.66,1.0138,1.62,0.0,6.7,15.4,True
3.0,0.74,1.0093,1.96,0.0,10.7,15.2,True
2.0,0.69,1.0037,1.9,0.03,10.8,17.9,False
8.0,0.85,1.0071,0.3,1.8,0.1,14.7,False
5.0,0.77,1.0185,1.26,0.0,4.4,13.5,True
3.0,0.73,1.0243,1.79,0.0,9.1,14.1,True
3.0,0.75,1.0193,1.8,0.0,10.7,16.0,True
6.0,0.77,1.0208,1.57,0.0,9.3,17.9,True
6.0,0.78,1.0189,1.22,0.0,4.4,17.9,True
5.0,0.72,1.0102,1.59,0.0,7.5,19.1,True
2.0,0.73,1.0027,1.64,0.0,8.9,18.1,True
7.0,0.84,1.0081,0.65,0.0,0.4,14.6,False
6.0,0.78,1.0129,0.73,0.04,1.5,12.8,False
7.0,0.79,1.022,0.81,0.0,0.4,13.1,False
6.0,0.76,1.0214,1.17,0.0,4.1,13.9,True
7.0,0.81,1.0196,0.96,0.62,1.9,12.5,False
6.0,0.8,1.024,0.78,0.17,2.4,10.5,False
5.0,0.82,1.0255,1.14,0.44,4.5,8.3,False
7.0,0.83,1.0213,1.29,0.68,5.0,8.0,False
6.0,0.66,0.9999,0.98,0.06,4.0,10.7,False
8.0,0.79,0.9927,0.17,0.79,0.0,11.1,False
7.0,0.84,1.0018,0.71,0.55,0.3,12.1,False
8.0,0.89,1.0126,0.26,0.19,0.0,10.9,False
8.0,0.91,1.0146,0.28,0.02,0.0,11.7,False
4.0,0.79,1.0133,1.32,0.0,7.6,13.9,True
7.0,0.82,1.0249,0.83,0.02,0.9,11.7,False
6.0,0.85,1.0217,0.53,0.06,0.4,12.9,False
5.0,0.83,1.0205,1.04,0.0,5.5,12.8,False
5.0,0.82,1.0248,1.09,0.0,7.3,13.1,False
1.0,0.82,1.0263,1.2,0.15,9.3,12.2,False
7.0,0.89,1.0239,0.36,0.25,0.3,13.4,False
7.0,0.82,1.0176,0.97,0.06,4.3,14.6,False
8.0,0.79,1.018,0.53,0.0,0.7,12.9,False
5.0,0.73,1.0226,1.06,0.0,6.0,11.0,False
7.0,0.78,1.006,0.28,0.48,0.2,9.7,False
4.0,0.62,1.0095,0.91,0.0,5.9,11.3,False
5.0,0.65,1.0049,0.55,0.95,4.2,11.4,False
8.0,0.87,1.0034,0.12,0.15,0.0,9.3,False
7.0,0.78,1.0137,0.63,0.17,2.7,7.8,False
3.0,0.74,1.0114,1.01,0.02,8.7,7.5,False
8.0,0.72,0.9882,0.1,0.52,0.3,8.6,False
7.0,0.52,0.9893,0.66,0.0,2.7,11.1,False
5.0,0.49,0.9993,0.71,0.02,3.4,10.4,False
7.0,0.71,1.0125,0.41,0.09,0.3,8.3,False
7.0,0.76,1.0227,0.43,0.0,0.5,6.6,False
3.0,0.77,1.0244,0.91,0.0,7.7,5.6,False
7.0,0.68,1.0117,0.23,0.08,0.0,7.0,False
8.0,0.82,1.004,0.21,1.15,0.0,9.6,False
8.0,0.9,1.0107,0.09,1.1,0.0,7.0,False
7.0,0.86,1.0177,0.38,0.0,0.0,6.2,False
8.0,0.85,1.0155,0.61,0.03,3.1,5.1,False
8.0,0.87,1.0156,0.09,1.07,0.0,5.0,False
7.0,0.8,1.0183,0.38,0.0,0.5,4.6,False
3.0,0.74,1.0093,0.71,0.1,5.5,6.8,False
6.0,0.84,1.0122,0.27,0.77,0.6,8.5,False
8.0,0.84,1.0055,0.1,0.53,0.0,9.0,False
6.0,0.85,1.0123,0.18,0.32,0.0,6.5,False
3.0,0.82,1.0109,0.62,0.65,6.0,5.2,False
7.0,0.75,1.0099,0.24,0.25,0.2,7.1,False
7.0,0.77,1.0199,0.39,0.25,0.6,7.1,False
5.0,0.86,1.0197,0.47,0.0,3.2,9.8,False
5.0,0.86,1.016,0.52,0.0,3.9,8.8,False
2.0,0.83,1.0191,0.53,0.0,4.6,8.3,False
7.0,0.87,1.0188,0.56,0.04,4.5,6.0,False
8.0,0.84,1.0184,0.26,0.02,0.4,8.2,False
8.0,0.76,1.0217,0.26,0.0,0.0,9.1,False
5.0,0.78,1.0203,0.59,0.12,6.1,8.1,False
7.0,0.87,1.0179,0.28,0.43,0.5,6.1,False
8.0,0.79,1.0109,0.15,0.05,0.6,8.4,False
8.0,0.81,1.0116,0.06,1.43,0.0,9.7,False
4.0,0.83,1.0186,0.45,0.0,2.8,9.2,False
7.0,0.74,1.0224,0.14,0.28,0.0,9.2,False
5.0,0.67,1.0286,0.53,0.0,5.5,10.1,False
7.0,0.74,1.025,0.35,0.0,1.6,9.0,False
8.0,0.6,1.0225,0.39,0.0,1.7,11.7,False
8.0,0.66,1.0134,0.18,0.22,0.0,9.3,False
7.0,0.73,1.0177,0.29,0.03,0.3,4.8,False
8.0,0.8,1.0217,0.25,0.0,0.7,3.0,False
7.0,0.78,1.0217,0.45,0.0,2.3,6.1,False
8.0,0.81,1.0223,0.18,0.0,0.0,3.3,False
4.0,0.8,1.0207,0.45,0.0,3.5,0.4,False
0.0,0.8,1.0157,0.6,0.0,7.5,0.3,False
7.0,0.78,1.0059,0.4,0.4,1.5,0.0,False
7.0,0.85,0.9925,0.54,0.01,5.6,5.9,False
5.0,0.83,0.9921,0.37,0.04,1.7,5.2,False
6.0,0.8,1.0002,0.17,0.01,1.1,2.6,False
8.0,0.81,1.0021,0.16,0.17,0.0,1.1,False
4.0,0.77,1.0069,0.43,0.01,3.3,1.0,False
7.0,0.68,1.0086,0.16,1.22,0.0,0.8,False
8.0,0.81,1.0049,0.07,1.01,0.0,6.6,False
6.0,0.7,1.0118,0.37,0.0,2.4,7.0,False
7.0,0.71,1.0083,0.13,0.04,0.2,6.7,False
8.0,0.71,1.0017,0.08,1.51,0.0,9.3,False
8.0,0.86,1.0071,0.07,1.01,0.0,7.8,False
7.0,0.87,1.0147,0.24,0.0,0.0,4.9,False
8.0,0.84,1.0157,0.21,0.0,0.0,5.0,False
3.0,0.81,1.0179,0.63,0.01,6.4,1.9,False
8.0,0.88,1.0221,0.08,0.0,0.0,3.9,False
2.0,0.69,1.0268,0.52,0.0,4.4,-0.9,False
1.0,0.59,1.0273,0.72,0.0,7.6,-1.8,False
2.0,0.7,1.0257,0.67,0.0,7.1,-1.8,False
4.0,0.76,1.0213,0.64,0.0,5.6,-0.2,False
7.0,0.8,1.0205,0.34,0.0,0.3,1.8,False
8.0,0.87,1.0252,0.33,0.25,0.0,3.5,False
7.0,0.83,1.0261,0.59,0.15,2.5,1.7,False
7.0,0.76,1.0144,0.61,0.28,4.8,4.5,False
8.0,0.81,1.0097,0.43,0.11,0.6,7.7,False
7.0,0.81,1.0069,0.08,1.12,0.0,7.5,False
5.0,0.85,1.0092,0.5,0.47,3.8,6.0,False
5.0,0.78,1.008,0.47,0.06,2.2,5.2,False
3.0,0.66,1.0046,0.81,0.31,5.4,6.2,False
6.0,0.72,1.0041,0.81,0.0,5.5,3.6,False
8.0,0.86,1.0153,0.26,0.0,0.0,1.6,False
7.0,0.84,1.0223,0.39,0.0,0.4,2.5,False
5.0,0.74,1.022,0.71,0.0,3.6,1.6,False
7.0,0.75,1.0273,0.44,0.0,0.8,0.3,False
5.0,0.68,1.0232,0.6,0.0,1.5,-0.4,False
8.0,0.76,1.0134,0.17,0.46,0.0,5.6,False
5.0,0.76,1.0095,0.86,0.02,5.2,10.1,False
6.0,0.62,1.0104,0.84,0.0,5.8,11.2,False
7.0,0.69,1.008,0.42,0.0,0.0,9.4,False
8.0,0.72,1.0049,0.54,0.45,1.9,8.0,False
6.0,0.65,1.0177,0.69,0.0,1.8,6.6,False
5.0,0.64,1.0391,1.05,0.0,7.7,6.1,False
7.0,0.64,1.0306,0.91,0.7,4.9,7.4,False
8.0,0.84,1.0261,0.24,0.02,0.1,8.3,False
1.0,0.76,1.0311,1.14,0.0,8.8,4.1,False
4.0,0.78,1.031,0.79,0.0,2.4,4.8,False
8.0,0.8,1.0336,0.26,0.01,0.1,3.5,False
6.0,0.81,1.0364,0.54,0.0,0.8,3.7,False
6.0,0.75,1.0336,0.67,0.0,1.3,3.2,False
3.0,0.68,1.0304,1.18,0.0,6.7,3.8,False
8.0,0.78,1.0075,0.36,0.15,0.0,5.3,False
7.0,0.79,1.0088,0.47,0.14,0.5,0.7,False
7.0,0.8,1.0123,0.86,0.0,1.5,-0.7,False
1.0,0.7,1.0117,1.14,0.0,7.0,-0.7,False
7.0,0.55,0.9992,1.19,0.0,5.1,1.4,False
7.0,0.64,0.9958,0.72,0.01,1.3,2.4,False
7.0,0.82,1.0001,0.47,0.53,0.6,2.5,False
5.0,0.8,0.9986,0.92,2.67,4.1,3.2,False
8.0,0.84,0.9998,0.34,1.58,0.0,5.9,False
5.0,0.75,1.0168,1.01,0.0,4.5,5.9,False
8.0,0.85,1.0143,0.36,0.33,0.0,6.8,False
8.0,0.89,1.0064,0.33,0.87,0.0,9.1,False
7.0,0.73,1.0097,0.83,0.0,1.3,10.0,False
7.0,0.8,1.0103,0.41,0.45,0.4,9.7,False
8.0,0.83,1.0135,0.32,1.44,0.0,11.8,False
8.0,0.86,1.0092,0.21,1.36,0.0,10.7,False
6.0,0.67,1.0094,1.03,1.75,2.6,7.7,False
8.0,0.79,1.0143,0.49,0.45,0.1,6.9,False
7.0,0.81,1.014,0.54,0.1,0.1,10.5,False
8.0,0.84,1.0037,0.39,0.16,0.0,10.1,False
7.0,0.62,1.0052,1.11,0.36,3.4,11.0,False
8.0,0.72,1.0148,0.91,0.36,0.8,6.1,False
8.0,0.87,1.0133,0.45,0.78,0.0,5.5,False
8.0,0.75,1.0046,0.33,1.03,0.0,11.6,False
7.0,0.73,0.9983,1.12,0.31,2.4,11.4,False
8.0,0.79,1.0086,0.88,0.01,0.2,6.8,False
7.0,0.78,1.012,1.0,0.0,0.5,6.6,False
7.0,0.71,1.0081,1.11,0.56,2.9,9.5,False
8.0,0.69,1.0034,0.53,0.78,0.0,8.6,False
6.0,0.73,1.0152,1.45,0.0,2.5,7.9,False
7.0,0.57,1.018,2.19,0.0,11.7,14.1,True
7.0,0.73,1.0194,0.73,0.0,0.0,11.0,False
7.0,0.73,1.0138,0.72,0.65,1.0,10.4,False
4.0,0.62,1.0193,1.89,0.19,7.1,8.4,False
8.0,0.71,1.0132,1.39,0.73,2.4,11.7,False
7.0,0.75,1.0071,1.03,0.57,2.0,7.8,False
8.0,0.85,1.0218,0.47,2.5,0.0,7.6,False
8.0,0.83,1.0151,0.52,0.68,0.1,8.6,False
7.0,0.77,1.0193,1.51,0.01,3.8,8.1,False
5.0,0.56,1.0266,2.06,0.0,7.0,4.7,False
6.0,0.59,1.0267,1.62,0.0,4.2,2.7,False
7.0,0.74,1.0155,0.32,0.29,0.5,4.9,False
8.0,0.88,1.0155,1.0,1.23,1.3,6.3,False
7.0,0.79,1.0182,1.33,0.17,1.4,6.6,False
5.0,0.7,1.0104,1.53,0.42,2.0,7.0,False
6.0,0.75,1.0102,1.84,0.02,4.6,3.8,False
7.0,0.82,1.0081,1.02,0.21,0.9,5.2,False
6.0,0.69,1.006,2.21,0.0,7.0,7.0,False
6.0,0.66,1.0121,2.15,0.67,5.6,12.0,False
5.0,0.66,1.0221,1.86,0.02,4.8,10.1,False
6.0,0.65,1.0183,2.11,0.16,4.7,11.7,False
7.0,0.85,1.0117,1.37,0.09,1.1,13.2,False
5.0,0.68,1.0132,2.36,0.0,6.9,15.6,True
7.0,0.74,1.0082,1.69,0.0,3.4,15.4,True
7.0,0.79,1.0057,1.03,0.6,0.2,14.0,False
8.0,0.97,1.0078,0.19,1.92,0.0,10.2,False
8.0,0.96,1.0155,0.31,0.18,0.0,8.1,False
8.0,0.94,1.0203,0.27,0.09,0.0,8.7,False
8.0,0.88,1.0224,0.69,0.0,0.0,11.0,False
5.0,0.76,1.0186,2.63,0.0,8.0,15.0,True
5.0,0.78,1.0164,2.47,0.0,8.7,16.2,True
4.0,0.59,1.0166,3.06,0.0,13.7,17.3,True
8.0,0.82,1.01,1.28,1.9,1.4,15.7,False
7.0,0.94,1.0107,0.86,0.96,1.4,13.5,False
7.0,0.9,1.0119,1.41,2.32,3.5,14.7,False
7.0,0.94,1.0138,0.65,1.85,0.5,13.4,False
1.0,0.71,1.0241,3.25,0.0,13.7,12.2,True
3.0,0.72,1.0212,3.06,0.0,11.5,14.4,True
6.0,0.7,1.0161,2.83,0.0,10.5,16.1,True
3.0,0.67,1.0193,3.03,0.0,13.1,17.6,True
5.0,0.76,1.0195,2.12,0.68,4.8,18.5,False
5.0,0.75,1.0182,2.63,0.0,7.7,19.0,True
5.0,0.62,1.0234,3.03,0.0,11.3,20.5,True
5.0,0.66,1.0242,2.99,0.0,12.6,21.8,True
6.0,0.64,1.0214,3.16,0.0,14.2,22.8,True
7.0,0.65,1.0164,3.1,0.03,13.6,22.7,False
6.0,0.67,1.0157,2.64,0.79,9.2,18.9,False
5.0,0.54,1.0213,2.88,0.0,8.7,15.2,True
8.0,0.74,1.0154,0.69,1.75,0.3,12.6,False
4.0,0.66,1.0269,3.21,0.0,13.0,11.0,False
5.0,0.64,1.0203,3.24,0.27,13.5,15.1,False
6.0,0.81,1.0173,1.68,0.77,2.5,14.8,False
7.0,0.71,1.0166,2.41,0.0,5.3,16.3,True
8.0,0.98,1.0133,0.4,1.77,0.0,11.5,False
3.0,0.66,1.0232,2.75,0.0,9.2,12.3,False
1.0,0.61,1.021,3.44,0.0,14.5,13.9,True
7.0,0.62,1.0155,2.75,0.1,8.0,16.1,False
7.0,0.76,1.0136,2.12,0.69,6.1,17.3,False
5.0,0.72,1.015,2.15,0.17,4.1,15.3,False
7.0,0.76,1.0259,1.95,0.0,5.1,14.6,True
5.0,0.67,1.0215,3.28,0.0,12.0,15.6,True
1.0,0.59,1.0155,3.34,0.0,14.4,19.2,True
2.0,0.6,1.0186,3.41,0.0,14.6,17.2,True
1.0,0.56,1.021,3.35,0.0,14.6,19.9,True
1.0,0.6,1.0216,3.3,0.0,14.6,21.5,True
0.0,0.56,1.017,3.35,0.0,14.6,22.9,True
5.0,0.69,1.0146,2.36,2.68,7.0,21.5,False
4.0,0.66,1.0259,3.08,0.0,11.2,20.0,True
1.0,0.67,1.025,3.25,0.0,14.4,19.9,True
1.0,0.6,1.0169,3.31,0.0,14.8,20.6,True
4.0,0.54,1.0106,3.11,0.0,12.8,22.4,True
4.0,0.66,1.0081,2.75,0.25,10.3,23.6,False
8.0,0.82,1.0128,0.94,0.91,0.9,17.6,False
6.0,0.73,1.016,1.7,0.18,3.0,19.0,False
6.0,0.7,1.017,2.66,0.0,6.9,19.1,True
7.0,0.62,1.0141,3.03,0.0,10.6,20.1,True
7.0,0.63,1.0176,1.37,0.0,3.2,18.7,True
7.0,0.82,1.0134,1.79,0.09,3.7,17.9,False
7.0,0.88,1.0109,1.0,1.36,0.6,19.2,False
8.0,0.97,1.016,0.49,2.65,0.0,13.3,False
8.0,0.82,1.0166,1.46,0.05,0.4,14.1,False
5.0,0.67,1.0074,2.34,0.0,6.3,17.8,True
3.0,0.64,1.0076,2.23,0.1,7.2,17.3,False
7.0,0.79,1.0172,0.93,0.12,0.0,14.6,False
1.0,0.68,1.0213,3.16,0.0,14.1,17.8,True
